"strategy_id","strategy_name","experiment_name","variant","changed_component","status","gender_accuracy","gender_precision","gender_recall","gender_f1","age_mae","age_rmse","age_r2","samples","trainable_parameters","training_seconds","message","age_mae_0_12","age_mae_13_19","age_mae_20_39","age_mae_40_59","age_mae_60_plus","age_support_0_12","age_support_13_19","age_support_20_39","age_support_40_59","age_support_60_plus","test_samples","train_samples","validation_samples"
"E1","Baseline clasico","classical_base","base","ninguno","COMPLETADO","0.8093899353387686","0.8100802302360535","0.8093899488449097","0.8087393045425415","11.679601669311523","15.077305793762207","0.40258467197418213","3557","0","4.8758838176727295","","15.648507118225098","13.775522232055664","8.103507995605469","9.951094627380371","25.39964485168457","509","197","1827","644","380","3557","16593","3555"
"E1","Baseline clasico","classical_pca_50","ablacion","PCA=50 componentes","COMPLETADO","0.7852122575203824","0.7868262529373169","0.7852122783660889","0.7839711904525757","12.245282173156738","15.700727462768555","0.3521590232849121","3557","0","4.23914098739624","","16.890480041503906","14.180145263671875","8.214825630187988","10.542231559753418","27.2843074798584","509","197","1827","644","380","3557","16593","3555"
"E1","Baseline clasico","classical_pca_200","ablacion","PCA=200 componentes","COMPLETADO","0.7981445037953332","0.7980939149856567","0.798144519329071","0.7981152534484863","11.243432998657227","14.524518013000488","0.4455884099006653","3557","0","7.916772127151489","","15.036974906921387","12.94983959197998","7.926292896270752","9.723361015319824","23.80202293395996","509","197","1827","644","380","3557","16593","3555"
"E2","MLP multitarea","mlp_base","base","ninguno","COMPLETADO","0.8580264267641271","0.8590117692947388","0.8580265045166016","0.857578694820404","12.26900863647461","16.567996978759766","0.278611958026886","3557","77136899","503.5141339690017","","11.424498558044434","10.587997436523438","8.508416175842285","13.921751976013184","29.551244735717773","509","197","1827","644","380","3557","16593","3555"
"E2","MLP multitarea","mlp_no_dropout","ablacion","dropout=0.0","COMPLETADO","0.8667416362102895","0.8670878410339355","0.8667416572570801","0.8664942979812622","11.628133773803711","16.035825729370117","0.32421034574508667","3557","77136899","505.6224184570019","","11.725343704223633","11.410892486572266","7.416256904602051","13.896515846252441","28.016489028930664","509","197","1827","644","380","3557","16593","3555"
"E2","MLP multitarea","mlp_lambda_low","ablacion","lambda_age=0.001","COMPLETADO","0.8403148720832162","0.8428586721420288","0.8403148651123047","0.8404643535614014","16.673873901367188","23.06841468811035","-0.39850616455078125","3557","77136899","506.73947672900977","","9.257156372070312","9.097110748291016","10.367630958557129","22.43520736694336","51.092132568359375","509","197","1827","644","380","3557","16593","3555"
"E2","MLP multitarea","mlp_lambda_high","ablacion","lambda_age=0.1","COMPLETADO","0.8386280573517009","0.8386524319648743","0.8386280536651611","0.8386391401290894","10.71158218383789","15.109659194946289","0.40001803636550903","3557","77136899","508.35738147499796","","8.569621086120605","10.459815979003906","6.664132595062256","14.1622896194458","27.322877883911133","509","197","1827","644","380","3557","16593","3555"
"E3","CNN simple multitarea","cnn_base","base","ninguno","COMPLETADO","0.8799550182738263","0.8801922798156738","0.8799550533294678","0.8797774910926819","9.433516502380371","12.980634689331055","0.5571866035461426","3557","286755","489.1353339250054","","9.28551959991455","8.656832695007324","6.384490966796875","10.616622924804688","22.688743591308594","509","197","1827","644","380","3557","16593","3555"
"E3","CNN simple multitarea","cnn_no_augmentation","ablacion","sin aumentacion","COMPLETADO","0.8765813888107956","0.8766882419586182","0.8765814304351807","0.8764388561248779","10.330011367797852","13.465749740600586","0.5234702825546265","3557","286755","281.9927634869964","","13.707972526550293","11.97299575805664","7.655432224273682","8.842172622680664","20.334156036376953","509","197","1827","644","380","3557","16593","3555"
"E3","CNN simple multitarea","cnn_no_dropout","ablacion","dropout=0.0","COMPLETADO","0.8687095867303908","0.8686642646789551","0.8687096238136292","0.8686621189117432","9.199496269226074","12.698318481445312","0.576238751411438","3557","286755","488.9838754670054","","9.719874382019043","9.632401466369629","5.882663249969482","10.86760425567627","21.398014068603516","509","197","1827","644","380","3557","16593","3555"
